course_code,course,EX,A,B,C,D,P,F,session,category,Personal Interest,EX_percent,A_percent,B_percent,C_percent,D_percent,P_percent,F_percent,Mean Grade,cum_EX_A_%,cum_EX_A_B_%,"cum_EX,A,B,C_%"
CE13001,ENGINEERING DRAWING AND COMPUTER GRAPHICS ,50,76,153,95,47,27,1,Autumn 18,Civil Engineering_related_roles,,11.1358574610245,16.926503340757236,34.075723830734965,21.158129175946545,10.46770601336303,6.013363028953229,0.22271714922048996,7.472160356347438,28.062360801781736,62.1380846325167,83.29621380846325
CS10001,PROGRAMMING AND DATA STRUCTURES ,54,57,70,71,108,88,1,Autumn 18,Computer Science_related_roles,Programming and Software Engineering; Competitive Programming for IT; ,12.026726057906458,12.694877505567929,15.590200445434299,15.812917594654788,24.053452115812917,19.599109131403118,0.22271714922048996,6.142538975501114,24.72160356347439,40.31180400890869,56.12472160356347
CS19101,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY ,71,83,119,96,56,22,1,Autumn 18,Computer Science_related_roles,,15.848214285714285,18.526785714285715,26.5625,21.428571428571427,12.5,4.910714285714286,0.2232142857142857,7.627232142857143,34.375,60.9375,82.36607142857143
EA10001,EXTRA ACADEMIC ACTIVITY-I ,73,287,218,117,132,85,3,Autumn 18,Other_related_roles,,7.978142076502732,31.366120218579237,23.825136612021858,12.786885245901638,14.426229508196723,9.289617486338798,0.32786885245901637,7.287431693989071,39.34426229508197,63.169398907103826,75.95628415300547
EA10005,INDUCTION PROGRAM ,0,0,0,0,0,0,0,Autumn 18,Other_related_roles,,,,,,,,,,,,
MA10001,MATHEMATICS-I ,163,251,163,125,88,122,4,Autumn 18,Mathematics_related_roles,,17.79475982532751,27.40174672489083,17.79475982532751,13.646288209606988,9.606986899563319,13.318777292576419,0.43668122270742354,7.200873362445415,45.196506550218345,62.991266375545855,76.63755458515284
ME10001,MECHANICS ,53,87,108,62,50,86,3,Autumn 18,Mechanical Engineering_related_roles,,11.804008908685969,19.37639198218263,24.053452115812917,13.808463251670378,11.1358574610245,19.15367483296214,0.6681514476614699,6.4832962138084635,31.180400890868597,55.233853006681514,69.04231625835189
PH11001,PHYSICS ,30,81,100,98,64,75,1,Autumn 18,Physics_related_roles,,6.6815144766147,18.040089086859687,22.271714922049,21.826280623608017,14.253897550111358,16.70378619153675,0.22271714922048996,6.456570155902004,24.72160356347439,46.99331848552339,68.8195991091314
PH19001,PHYSICS LAB. ,161,154,93,24,10,5,2,Autumn 18,Physics_related_roles,,35.85746102449889,34.29844097995546,20.71269487750557,5.3452115812917596,2.2271714922048997,1.1135857461024499,0.4454342984409799,8.837416481069042,70.15590200445435,90.86859688195992,96.21380846325168
CY11001,CHEMISTRY ,29,89,102,88,68,72,0,Spring 19,Chemistry_related_roles,,6.4732142857142865,19.866071428571427,22.767857142857142,19.642857142857142,15.178571428571427,16.071428571428573,0.0,6.542410714285714,26.339285714285715,49.10714285714286,68.75
CY19001,CHEMISTRY LAB. ,155,241,40,6,3,3,0,Spring 19,Chemistry_related_roles,,34.598214285714285,53.79464285714286,8.928571428571429,1.3392857142857142,0.6696428571428571,0.6696428571428571,0.0,9.149553571428571,88.39285714285714,97.32142857142857,98.66071428571428
EA10002,EXTRA ACADEMIC ACTIVITY-II ,80,254,246,149,114,69,0,Spring 19,Other_related_roles,,8.771929824561402,27.850877192982455,26.973684210526315,16.337719298245617,12.5,7.565789473684211,0.0,7.43530701754386,36.622807017543856,63.59649122807017,79.93421052631578
EE11001,ELECTRICAL TECHNOLOGY ,20,45,68,107,135,71,1,Spring 19,Electrical Engineering_related_roles,,4.47427293064877,10.06711409395973,15.212527964205815,23.937360178970916,30.201342281879196,15.883668903803134,0.22371364653243847,6.058165548098434,14.5413870246085,29.753914988814316,53.691275167785236
EE19001,ELECTRICAL TECHNOLOGY LAB. ,30,127,182,69,23,16,1,Spring 19,Electrical Engineering_related_roles,,6.696428571428571,28.348214285714285,40.625,15.401785714285715,5.133928571428571,3.571428571428571,0.2232142857142857,7.857142857142857,35.044642857142854,75.66964285714286,91.07142857142858
HS13001,ENGLISH FOR COMMUNICATION ,14,103,162,159,7,2,0,Spring 19,Humanities and Social Science_related_roles,,3.131991051454139,23.042505592841163,36.241610738255034,35.57046979865772,1.5659955257270695,0.44742729306487694,0.0,7.8702460850111855,26.174496644295303,62.41610738255034,97.98657718120805
MA10002,MATHEMATICS-II ,130,186,210,142,111,133,1,Spring 19,Mathematics_related_roles,,14.238773274917854,20.372398685651696,23.001095290251918,15.553121577217963,12.157721796276014,14.56736035049288,0.10952902519167579,6.9156626506024095,34.61117196056955,57.61226725082147,73.16538882803943
ME19001,INTRODUCTION TO MANUFACTURING PROCESSES ,14,334,88,4,4,3,0,Spring 19,Mechanical Engineering_related_roles,,3.131991051454139,74.72035794183445,19.686800894854585,0.8948545861297539,0.8948545861297539,0.6711409395973155,0.0,8.72930648769575,77.85234899328859,97.53914988814317,98.43400447427292
AE21001,INTRODUCTION TO AERODYNAMICS ,1,7,22,4,10,0,0,Autumn 19,Aerospace Engineering_related_roles,,2.272727272727273,15.909090909090908,50.0,9.090909090909092,22.727272727272727,0.0,0.0,7.659090909090909,18.18181818181818,68.18181818181819,77.27272727272728
AE21003,DYNAMICS FOR AEROSPACE ENGINEERS ,1,2,5,18,9,7,0,Autumn 19,Aerospace Engineering_related_roles,,2.380952380952381,4.761904761904762,11.904761904761903,42.857142857142854,21.428571428571427,16.666666666666664,0.0,5.904761904761905,7.142857142857142,19.047619047619044,61.9047619047619
BS20001,SCIENCE OF LIVING SYSTEM ,19,60,83,96,82,71,0,Autumn 19,Other_related_roles,,4.622871046228711,14.5985401459854,20.194647201946474,23.357664233576642,19.951338199513383,17.27493917274939,0.0,6.223844282238443,19.22141119221411,39.416058394160586,62.77372262773723
EA10003,EXTRA ACADEMIC ACTIVITY-III ,78,181,270,208,91,49,2,Autumn 19,Other_related_roles,,8.873720136518772,20.591581342434583,30.716723549488055,23.66325369738339,10.352673492605232,5.5745164960182025,0.22753128555176336,7.4755403868031856,29.465301478953357,60.182025028441416,83.84527872582481
EC21101,BASIC ELECTRONICS ,39,67,27,7,3,1,0,Autumn 19,Other_related_roles,,27.083333333333332,46.52777777777778,18.75,4.861111111111112,2.083333333333333,0.6944444444444444,0.0,8.86111111111111,73.61111111111111,92.36111111111111,97.22222222222223
EC29001,BASIC ELECTRONICS LAB. ,29,64,22,16,10,3,0,Autumn 19,Other_related_roles,,20.13888888888889,44.44444444444444,15.277777777777779,11.11111111111111,6.944444444444445,2.083333333333333,0.0,8.430555555555555,64.58333333333333,79.86111111111111,90.97222222222223
EV20001,ENVIRONMENTAL SCIENCE ,28,102,118,107,40,20,0,Autumn 19,Other_related_roles,,6.746987951807229,24.57831325301205,28.433734939759038,25.783132530120483,9.63855421686747,4.819277108433735,0.0,7.544578313253012,31.325301204819276,59.75903614457832,85.5421686746988
